"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value","Flag and Footnotes"
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Euro area (19 countries)","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
