"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Number","Hotels and similar accommodation","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Number","Holiday and other short-stay accommodation","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Number","Camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Percentage change compared to same period in previous year","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Percentage change compared to same period in previous year","Hotels and similar accommodation","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Percentage change compared to same period in previous year","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Percentage change compared to same period in previous year","Holiday and other short-stay accommodation","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Foreign country","Percentage change compared to same period in previous year","Camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Reporting country","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Reporting country","Number","Hotels and similar accommodation","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Reporting country","Number","Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","",""
"1990M01","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Reporting country","Number","Holiday and other short-stay accommodation","",""
